,store,address,contact
0,이마트 가든5점,서울특별시 송파구 충민로 10 ,02-411-1234
1,이마트 가양점,서울 강서구 양천로 559 ,02-2101-1234
2,이마트 강릉점,강원도 강릉시 경강로 2398-10 ,033-649-1234
3,이마트 검단점,인천광역시 서구 서곶로 754 ,032-440-1234
4,이마트 경기광주점,경기 광주시 광주대로 30 ,"  
								
								08. 28. (일)
								
								
								
								"
5,이마트 경산점,경상북도 경산시 옥산로 227 ,053-940-1234
6,이마트 계양점,인천광역시 계양구 봉오대로 785 이마트계양점,032-717-1234
7,이마트 과천점,경기도 과천시  별양상가3로 11 ,02-6445-4123
8,이마트 광교점,경기도 수원시 광교로 191(이의동) ,031-328-9123
9,이마트 광명소하점,경기도 광명시 소하로 97 ,02-6918-1234
10,이마트 광명점,경기도 광명시 오리로 970 지하2층,02-2676-1234
11,이마트 광산점,광주광역시 광산구 사암로 172 이마트 광산점,062-949-1234
12,이마트 광주점,광주 서구 죽봉대로 61 ,"  
								
								08. 28. (일)
								
								
								
								"
13,이마트 구로점,서울 구로구 디지털로 32길 43 ,02-2009-1234
14,이마트 구미점,경상북도 구미시 구미대로 256 ,054-467-1234
15,이마트 군산점,전북 군산시 구암3.1로 137 ,063-472-1234
16,이마트 금정점,"부산 금정구 중앙대로1841번길 24 (구서동, (주)이마트금정점) ",051-606-1234
17,이마트 김천점,경북 김천시 시청로 75 ,054-420-1234
18,이마트 김포한강점,경기도 김포시 김포한강7로 71 구주소)경기 김포시 구래동 6880-9,031-990-7123
19,이마트 김해점,경남 김해시 김해대로 2232 (외동) 이마트 김해점,055-310-1234
20,이마트 남양주점,경기도 남양주시 늘을2로 27 ,031-590-1234
21,이마트 남원점,전북 남원시 남문로 385-16 ,063-620-3123
22,이마트 다산점,경기도 남양주시 도농로 24 ,"  
								
								08. 24. (수)
								
								
								
								"
23,이마트 대전터미널점,대전광역시 동구 동서대로 1689 ,042-615-1234
24,이마트 동구미점,경상북도 구미시 이계북로 23 ,054-480-1234
25,이마트 동백점,경기도 용인시 기흥구 동백죽전대로 444 ,031-546-1234
26,이마트 동인천점,인천 중구 인중로 134 ,032-451-1234
27,이마트 동탄점,경기도 화성시 동탄중앙로 376 ,"  
								
								08. 28. (일)
								
								
								
								"
28,이마트 동해점,강원도 동해시 천곡로 100 ,033-539-7123
29,이마트 둔산점,대전 서구 둔산북로 41 ,"  
								
								08. 28. (일)
								
								
								
								"
30,이마트 마산점,경상남도 창원시 마산합포구 서성로 3 ,055-711-1234
31,이마트 마포점,서울특별시 마포구 백범로 212 ,02-2197-1234
32,이마트 만촌점,"대구 수성구 동원로 136 (만촌동, 이마트만촌점) ",053-602-1234
33,이마트 명일점,서울 강동구 고덕로 276 ,"  
								
								08. 28. (일)
								
								
								
								"
34,이마트 목동점,서울특별시 양천구 오목로 299 ,02-6923-1234
35,이마트 목포점,전남 목포시 옥암로 138 ,061-260-1234
36,이마트 묵동점,서울특별시 중랑구 동일로 932 ,02-2083-1234
37,이마트 문현점,부산광역시 남구 전포대로91번길 47 ,051-609-1234
38,이마트 미아점,서울특별시 성북구 도봉로 17 (길음동),02-944-1234
39,이마트 반야월점,대구광역시 동구 안심로 389-2 ,"  
								
								08. 28. (일)
								
								
								
								"
40,이마트 별내점,경기도 남양주시 순화궁로 167 (별내동),"  
								
								08. 24. (수)
								
								
								
								"
41,이마트 보라점,경기도 용인시 기흥구 한보라1로 92 ,031-8009-1234
42,이마트 보령점,충청남도 보령시 해안로 25 ,041-640-1234
43,이마트 봉선점,광주광역시 남구 봉선로 198 ,062-611-1114
44,이마트 부천점,"경기 부천시 부천로 1 (심곡본동, 부천역사쇼핑몰) 이마트 부천점","  
								
								08. 28. (일)
								
								
								
								"
45,이마트 분당점,경기도 성남시 분당구 불정로 134 ,"  
								
								08. 28. (일)
								
								
								
								"
46,이마트 사상점,부산광역시 사상구 광장로 17 ,051-329-1234
47,이마트 사천점,경상남도 사천시 삼천포대교로 591 ,055-850-1234
48,이마트 산본점,경기 군포시 산본로 347 ,031-450-1234
49,이마트 상봉점,서울 중랑구 상봉로 118 ,02-490-1234
50,이마트 상주점,경상북도 상주시 경상대로 3141 ,054-537-1234
51,이마트 서귀포점,제주특별자치도 서귀포시 일주동로 9209 ,064-797-1234
52,이마트 서산점,충청남도 서산시 서해로 3685 ,041-670-1234
53,이마트 서수원점,경기도 수원시 권선구 수인로 291 ,031-895-1234
54,이마트 성남점,경기도 성남시 수정구 수정로 201 ,"  
								
								08. 28. (일)
								
								
								
								"
55,이마트 성서점,대구 달서구 이곡동로 24 ,"  
								
								08. 28. (일)
								
								
								
								"
56,이마트 성수점,서울 성동구 뚝섬로 379 ,02-3408-1234
57,이마트 세종점,세종특별자치시 금송로 687 ,044-902-1234
58,이마트 속초점,강원도 속초시 설악금강대교로 12 ,033-630-1234
59,이마트 수색점,"서울 은평구 수색로 217 (수색동, 디엠씨 자이1단지(DMC 자이1)) ","  
								
								08. 28. (일)
								
								
								
								"
60,이마트 수서점,서울특별시 강남구 광평로 280 ,02-451-6123
61,이마트 수원점,"경기 수원시 권선구 경수대로 270 (권선동, 주차빌딩) ","  
								
								08. 28. (일)
								
								
								
								"
62,이마트 수지점,경기도 용인시 수지구 수지로 203 (신봉동),031-270-1234
63,이마트 순천점,전라남도 순천시 팔마로 191 ,061-749-1234
64,이마트 시화점,경기도 시흥시 정왕대로 210 ,031-496-4123
65,이마트 신도림점,서울특별시 구로구 새말로 97 테크노마트 지하2층,"  
								
								08. 28. (일)
								
								
								
								"
66,이마트 신월점,서울특별시 양천구 화곡로 59 ,02-6716-1234
67,이마트 신제주점,제주특별자치도 제주시 1100로 3348 ,064-798-1234
68,이마트 신촌점,"서울 마포구 신촌로 94 (노고산동, 그랜드플라자) ",02-6288-1234
69,이마트 아산점,충청남도 아산시 온천대로 1678 ,041-422-1234
70,이마트 안동점,경북 안동시 옥동 1길2 ,054-850-1234
71,이마트 안산고잔점,경기도 안산시 단원구 원포공원1로 46 ,031-599-1234
72,이마트 안성점,경기도 안성시 중앙로 246 ,031-686-1234
73,이마트 안양점,"경기 안양시 동안구 관악대로 104 (비산동, 부방유통) 이마트 안양점","  
								
								08. 24. (수)
								
								
								
								"
74,이마트 양산점,경상남도 양산시 양산역6길 12 ,055-371-8123
75,이마트 양재점,서울특별시 서초구 매헌로 16 ,02-2155-1234
76,이마트 양주점,경기도 양주시 평화로 1713 ,031-860-0123
77,이마트 에코시티점,"전북 전주시 덕진구 세병서로 9 (송천동2가, 전주 에코시티 이마트) (세병서로 9)",063-906-5100
78,이마트 여수점,전남 여수시 좌수영로 277 ,061-650-1234
79,이마트 여의도점,서울특별시 영등포구 여의동로3길 10 ,02-2280-1234
80,이마트 여주점,경기도 여주시 세종로 151 ,031-887-6123
81,이마트 역삼점,서울특별시 강남구 역삼로 310 ,02-6908-1234
82,이마트 연수점,인천광역시 연수구 경원대로 184 ,032-820-1234
83,이마트 연제점,부산 연제구 연수로 89 이마트 연제점,"  
								
								08. 28. (일)
								
								
								
								"
84,이마트 영등포점,서울특별시 영등포구 영중로 15 ,02-3468-1234
85,이마트 영천점,경상북도 영천시 최무선로 83 ,054-330-1234
86,이마트 오산점,경기도 오산시 경기대로 181 ,031-369-7123
87,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17 이마트 왕십리점,02-6438-1234
88,이마트 용산점,서울특별시 용산구  한강대로23길 55 ,02-6363-2200
89,이마트 용인점,경기도 용인시 처인구 명지로 53 이마트 용인점,031-326-1234
90,이마트 울산점,울산광역시 남구 남중로 48 ,052-220-1234
91,이마트 원주점,강원 원주시 북원로 1928 ,033-749-1234
92,이마트 월계점,서울특별시 노원구 마들로3길 15 이마트 월계점,02-2092-1234
93,이마트 월배점,대구 달서구 진천로 92 이마트 월배점,053-607-1234
94,이마트 은평점,서울 은평구 은평로 111 이마트 은평점,02-380-1234
95,이마트 의왕점,"경기 의왕시 경수대로 262 (오전동, 서해그랑블) B1F~B2F 이마트의왕점",031-8063-1234
96,이마트 의정부점,경기 의정부시 민락로 210 ,031-850-1234
97,이마트 이수점,서울특별시 동작구 사당로 300 이수자이 B1,02-595-1234
98,이마트 이천점,경기 이천시 이섭대천로 1440-50 ,031-644-8123
99,이마트 익산점,전라북도 익산시 평동로 705 ,063-860-1234
100,이마트 일산점,경기 고양시 일산동구 중앙로 1124 ,"  
								
								08. 24. (수)
								
								
								
								"
101,이마트 자양점,서울특별시 광진구 아차산로 272 ,02-2024-1234
102,이마트 전주점,전북 전주시 완산구 당산로 111 ,063-259-1234
103,이마트 제주점,제주특별자치도 제주시 탑동로 38 ,064-729-1234
104,이마트 제천점,충청북도 제천시 장평천로 11 ,043-641-1234
105,이마트 죽전점,경기도 용인시 수지구 포은대로 552 ,031-888-1234
106,이마트 중동점,"경기 부천시 석천로 188 (중동, (주)신세계이마트중동점) ","  
								
								08. 28. (일)
								
								
								
								"
107,이마트 진접점,경기도 남양주시 진접읍 금강로유연들1길 154 ,031-522-1234
108,이마트 진주점,경남 진주시 진양호로 477 ,055-749-1234
109,이마트 창동점,서울 도봉구 노해로 65길 4 ,02-901-1234
110,이마트 창원점,경상남도 창원시 성산구 원이대로 608 ,055-211-1234
111,이마트 천안서북점,충남 천안시 서북구 삼성대로 20 ,041-580-9123
112,이마트 천안점,충남 천안시 서북구 충무로 187 ,041-620-1234
113,이마트 천안터미널점,충청남도 천안시 동남구 만남로 43 ,041-411-1234
114,이마트 천호점,서울 강동구 천호대로 1017 ,02-2224-1234
115,이마트 청계천점,서울특별시 중구 청계천로 400 ,02-2290-1234
116,이마트 청주점,충북 청주시 서원구 청남로 1853 ,043-210-1234
117,이마트 춘천점,강원도 춘천시 경춘로 2353 ,"  
								
								08. 28. (일)
								
								
								
								"
118,이마트 충주점,충북 충주시 중원대로 3420 ,043-841-1234
119,이마트 칠성점,대구 북구 침산로 93 ,053-609-1234
120,이마트 킨텍스점,경기도 고양시 일산서구 킨텍스로 171(대화동) ,031-936-1123
121,이마트 태백점,강원도 태백시 굴거랑길 4 ,033-580-1234
122,이마트 통영점,경상남도 통영시 광도면 죽림4로 9 ,055-650-1234
123,이마트 파주운정점,경기도 파주시 한울로 123 ,031-931-2123
124,이마트 파주점,경기도 파주시 당하길 10 ,"  
								
								08. 24. (수)
								
								
								
								"
125,노브랜드 수원천천점,경기 수원시 장안구 정자로20번길 10 (천천동) ,031-271-9116
126,이마트 평촌점,경기도 안양시 동안구 시민대로 300 ,031-687-1234
127,이마트 평택점,경기 평택시 영신로 29 ,031-371-1234
128,이마트 포천점,경기도 포천시 호국로 915 ,031-540-1234
129,이마트 포항이동점,경북 포항시 북구 대이로 188 ,054-721-1234
130,이마트 포항점,경북 포항시 남구 냉천로 10 ,054-223-1234
131,이마트 풍산점,경기 고양시 일산동구 무궁화로 237 ,031-910-1234
132,이마트 하남점,경기도 하남시 덕풍서로 70 ,"  
								
								08. 24. (수)
								
								
								
								"
133,이마트 하월곡점,"서울특별시 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티)",02-6936-1234
134,이마트 해운대점,부산 해운대구 좌동순환로 511 ,"  
								
								08. 28. (일)
								
								
								
								"
135,이마트 화성봉담점,경기도 화성시 봉담읍 효행로 278 ,031-228-1234
136,이마트 화정점,경기도 고양시 덕양구 백양로 79 ,031-995-1234
137,이마트 흥덕점,경기도 용인시 기흥구 흥덕중앙로 60 ,"  
								
								08. 28. (일)
								
								
								
								"
