store,address,Latitude,Longitude,tel
롯데마트 TRU동부산점,부산광역시 기장군 기장읍 기장해안로 147 롯데몰동부산점 3층,35.2188193,129.2313695,051-922-2500
롯데마트 TRU파주점,"경기도 파주시 문발로 302 A블럭 3층(문발동, 롯데프리미엄아울렛)",37.7204096,126.6936224,031-960-2750
롯데마트 marketD수원점,경기도 수원시 권선구 세화로 134 롯데마트,37.2653782,126.9959828,031-8067-2500
롯데마트 강변점,서울특별시 광진구 광나루로56길 85 롯데마트,37.5349372,127.0957088,02-3424-2500
롯데마트 거제점,경상남도 거제시 서간도길 9-9 (옥포동),34.8885012,128.6891835,055-641-2500
롯데마트 검단점,인천광역시 서구 원당대로 581 롯데마트,37.5944905,126.6645642,032-560-2500
롯데마트 경기양평점,경기도 양평군 양평읍 남북로 76 롯데마트,37.4893905,127.5025753,031-8079-2500
롯데마트 계양점,인천광역시 계양구 장제로 822 롯데마트,37.5406983,126.7360097,032-550-2500
롯데마트 고양점,경기도 고양시 덕양구 충장로 150 롯데마트,37.6251676,126.8362978,031-930-7000
롯데마트 광교점,경기도 수원시 영통구 센트럴타운로 85 롯데마트,37.2500467,127.0346118,031-410-2500
롯데마트 광복점,부산광역시 중구 중앙대로 2 롯데마트,35.096715,129.0367482,051-441-2500
롯데마트 구미점,경상북도 구미시 구미대로22길 11 롯데마트,36.1137596,128.3653763,054-440-2500
롯데마트 군산점,전라북도 군산시 수송로 185 롯데마트,35.9647244,126.7163921,063-441-2500
롯데마트 권선점,경기도 수원시 권선구 동수원로 232 롯데마트,37.2500467,127.0346118,031-229-7700
롯데마트 금천점,서울특별시 금천구 시흥대로 291 롯데마트,37.4506854,126.9012586,02-6960-2500
롯데마트 김천점,경상북도 김천시 시청로 80 롯데마트,36.1359303,128.1178844,054-748-2500
롯데마트 김포공항점,서울특별시 강서구 하늘길 38,37.5667733,126.8025118,02-6124-2500
롯데마트 김포한강점,경기도 김포시 김포한강2로 41 장기동. e편한세상 캐널시티,37.640444,126.6774695,031-8049-2500
롯데마트 김해점,경상남도 김해시 김해대로 2330 (부원동),35.2224512,128.8900056,055-632-2500
롯데마트 나주점,전라남도 나주시 내동길 15 (송월동),35.0134842,126.7119553,061-339-3200
롯데마트 남악점,전라남도 무안군 삼향읍 남악로162번길 80 롯데마트,34.8046034,126.4574013,061-740-2500
롯데마트 남원점,전라북도 남원시 향교동 춘향로 96 롯데마트,35.4315495,127.3837685,063-620-2500
롯데마트 노은점,대전광역시 유성구 북유성대로 206 롯데마트,36.3843091,127.3215537,042-525-2500
롯데마트 당진점,충청남도 당진시 정안로 20 롯데마트,36.9055041,126.6462036,041-832-2500
롯데마트 대구율하점,대구광역시 동구 안심로 80 롯데마트,35.86846,128.6934002,053-607-2500
롯데마트 대덕점,대전광역시 유성구 테크노중앙로 14 롯데마트,36.4262288,127.3913592,042-930-2500
롯데마트 덕소점,경기도 남양주시 와부읍 월문천로 33 롯데마트,37.5846917,127.2144896,031-579-7700
롯데마트 동두천점,경기도 동두천시 평화로2169번길 21 (송내동),37.8760279,127.081309,031-830-2500
롯데마트 동래점,부산광역시 동래구 중앙대로 1393 롯데마트,35.2114828,129.0776055,051-668-2500
롯데마트 동부산점,부산광역시 기장군 기장읍 기장해안로 147 롯데마트,35.2188193,129.2313695,051-922-2500
롯데마트 롯데맥스 목포점,전라남도 목포시 원형서로 15 (상동),34.7972245,126.4294761,061-280-2500
롯데마트 롯데맥스 상무점,광주광역시 서구 시청로 40 (치평동),35.1523726,126.8523783,062-602-2500
롯데마트 롯데맥스 송천점,전라북도 전주시 덕진구 송천중앙로 82 (송천동1가),35.8545668,127.120503,063-219-2500
롯데마트 롯데맥스 창원중앙점,경상남도 창원시 성산구 중앙대로 123(중앙동),35.2254304,128.680232,055-240-2500
롯데마트 롯데몰수지점,경기도 용인시 수지구 성복2로 38 롯데마트,37.3173486,127.0657805,031-5174-2500
롯데마트 마산점,경상남도 창원시 마산합포구 신마산시장길 33 롯데마트,35.1813055,128.5607439,055-230-2500
롯데마트 마석점,경기도 남양주시 화도읍 경춘로 1992 롯데마트,37.650166,127.3093975,031-748-2500
롯데마트 부산점,부산광역시 부산진구 신천대로 241 롯데마트,35.1633095,129.0495603,051-608-2500
롯데마트 부평역점,인천광역시 부평구 광장로 16 롯데마트,37.4897746,126.7233082,032-454-2500
롯데마트 부평점,인천광역시 부평구 마장로 296 롯데마트,37.5049762,126.7040634,032-509-2500
롯데마트 사상점,부산광역시 사상구 낙동대로 733 롯데마트,35.1270921,128.9685302,051-329-2500
롯데마트 사하점,부산광역시 사하구 을숙도대로 610 롯데마트,35.0848397,128.9715769,051-603-2500
롯데마트 삼계점,경상남도 창원시 마산회원구 내서읍 경남대로 927 롯데마트,35.2330229,128.5040935,055-719-5200
롯데마트 삼산점,인천광역시 부평구 길주로 623 롯데마트,37.507846,126.7320431,032-363-2500
롯데마트 삼양점,서울특별시 강북구 삼양로 247 롯데마트,37.6254731,127.0177185,02-2248-2500
롯데마트 상당점,충청북도 청주시 상당구 용암북로160번길 60 롯데마트,36.6204046,127.5161182,043-290-7000
롯데마트 상록점,경기도 안산시 상록구 반석로20 롯데마트,37.2965693,126.8619067,031-8086-0800
롯데마트 서대전점,대전광역시 유성구 유성대로 26-37 롯데마트,36.3510743,127.3400659,042-540-2500
롯데마트 서산점,충청남도 서산시 충의로 27 롯데마트,36.7735212,126.4386374,041-665-2500
롯데마트 서울역점,서울특별시 중구 청파로 426 롯데마트,37.5574069,126.9694999,02-390-2500
롯데마트 서청주점,충청북도 청주시 흥덕구 2순환로 1004 롯데마트,36.6565247,127.493741,043-254-2500
롯데마트 서초점,서울특별시 서초구 서초대로 38길 12 롯데마트,37.4895766,127.0069383,02-918-2500
롯데마트 석사점,강원도 춘천시 세실로 108 롯데마트,37.8668046,127.7591268,033-260-7700
롯데마트 선부점,경기도 안산시 단원구 달미로 64 64,37.3393138,126.815899,031-487-2500
롯데마트 성정점,충청남도 천안시 서북구 성정두정로 1 롯데마트,36.8262462,127.1400882,041-553-2500
롯데마트 송도점,인천광역시 연수구 컨벤시아대로 177 롯데마트,37.392921,126.646044,032-222-2500
롯데마트 송파점,서울특별시 송파구 중대로 80 롯데마트,37.4917416,127.1178672,02-2295-2500
롯데마트 수완점,광주광역시 광산구 장신로 98 롯데마트,35.1902505,126.8209779,062-975-2500
롯데마트 수원점,경기도 수원시 권선구 세화로 134 (서둔동),37.2702684,126.9846054,031-8067-2500
롯데마트 시티세븐점,경상남도 창원시 의창구 원이대로 320 롯데마트,35.239659,128.6544233,055-385-2500
롯데마트 시화점,경기도 시흥시 마유로238번길 26 롯데마트,37.3374862,126.7304654,031-496-7700
롯데마트 시흥배곧점,경기도 시흥시 서울대학로278번길 67 정왕동 동원아파트 맞은편,37.3623488,126.7570973,031-299-2500
롯데마트 시흥점,경기도 시흥시 비둘기공원로 28 롯데마트,37.4439439,126.7913895,031-435-7500
롯데마트 신갈점,경기도 용인시 기흥구 중부대로 375 (신갈동),37.2832422,127.103435,031-442-2500
롯데마트 아산터미널점,충청남도 아산시 번영로 225 롯데마트,36.7846016,127.0160054,041-537-2500
롯데마트 안산점,경기도 안산시 상록구 충장로 427 롯데마트,37.3171241,126.8479131,031-508-2500
롯데마트 안성점,경기도 안성시 공도읍 서동대로 4478 롯데마트,37.0078165,127.198962,031-691-2500
롯데마트 양덕점,경상남도 창원시 마산회원구 삼호로 80 롯데마트,35.2239481,128.585122,055-243-2500
롯데마트 양평점,서울특별시 영등포구 선유로 138 롯데마트,37.5260404,126.8917337,02-450-2500
롯데마트 여수점,전라남도 여수시 국포1로 36 36 롯데마트,34.7283116,127.7215556,061-640-2500
롯데마트 여천점,전라남도 여수시 무선로 187 롯데마트,34.7768534,127.6514717,061-650-2500
롯데마트 연수점,인천광역시 연수구 청능대로 87 롯데마트,37.4150567,126.6751684,032-810-2500
롯데마트 영종도점,인천광역시 중구 흰바위로 51 롯데마트 영종도점,37.4925791,126.4912589,032-747-2500
롯데마트 영통점,경기도 수원시 영통구 봉영로 1579 롯데마트,37.2527036,127.0716535,031-290-4000
롯데마트 오산점,경기도 오산시 경기대로 271 롯데마트,37.1494108,127.0730348,031-371-2500
롯데마트 울산점,울산광역시 남구 삼산로 74 롯데마트,35.5340072,129.3159148,052-228-2500
롯데마트 웅상점,경상남도 양산시 삼호1길 34 롯데마트,35.4127076,129.1670202,055-379-2500
롯데마트 원주점,강원도 원주시 봉화로 1 롯데마트,37.3523279,127.9290782,033-749-2500
롯데마트 월드컵점,광주광역시 서구 금화로 240 월드컵경기장 內,35.1336571,126.8748604,062-610-2500
롯데마트 월드타워점,서울특별시 송파구 신천동 올림픽로 300 롯데마트,37.5200705,127.0995,02-3213-2777
롯데마트 은평점,서울특별시 은평구 통일로 1050 롯데마트,37.6123992,126.9292744,02-2097-2500
롯데마트 의왕점,경기도 의왕시 계원대학로 7 롯데마트,37.3805035,126.9728853,031-470-2500
롯데마트 이천점,경기도 이천시 구만리로 191 롯데마트,37.2731391,127.4544047,031-8011-2500
롯데마트 익산점,전라북도 익산시 무왕로 1053 롯데마트,35.9592947,126.9671608,063-830-2500
롯데마트 인천터미널점,"인천광역시 미추홀구 연남로 35, B1층(관교동, 롯데마트 인천터미널점)",37.4408903,126.7014122,032-242-6000
롯데마트 장암점,경기도 의정부시 장곡로 224 롯데마트,37.7236292,127.0530165,031-849-2500
롯데마트 장유점,경상남도 김해시 장유면 번화1로56번길 15 롯데마트,35.1930323,128.8013109,055-311-2500
롯데마트 전주점,전라북도 전주시 완산구 우전로 240 롯데마트,35.8163187,127.1025147,063-249-2500
롯데마트 정읍점,전라북도 정읍시 벚꽃로 85 롯데마트,35.579284,126.839837,063-570-2500
롯데마트 제주점,제주특별자치도 제주시 연북로 1 롯데마트,33.4824201,126.4819325,064-798-2500
롯데마트 제천점,충청북도 제천시 용두대로11길 10 롯데마트,37.1372549,128.1987938,043-647-2500
롯데마트 제타플렉스,서울특별시 송파구 올림픽로 240 롯데마트 제타플렉스,37.5115176,127.0963012,02-411-8025
롯데마트 주엽점,경기도 고양시 일산서구 중앙로 1496 롯데마트,37.6733388,126.7553321,031-913-2500
롯데마트 중계점,서울특별시 노원구 노원로 330 롯데마트,37.6466623,127.0709672,02-2092-2500
롯데마트 진장점,울산광역시 북구 진장유통로 64 롯데마트,35.5760993,129.359324,052-240-2500
롯데마트 진주점,경상남도 진주시 동진로 440 롯데마트,35.1785913,128.1497587,055-790-2500
롯데마트 진해점,경상남도 창원시 진해구 진해대로 762 롯데마트,35.1279791,128.7449228,055-541-2500
롯데마트 천천점,경기도 수원시 장안구 만석로19번길 25-10 롯데마트,37.2960979,126.9824075,031-240-2500
롯데마트 첨단점,광주광역시 광산구 첨단강변로99번길 22 롯데마트,35.2163562,126.8520507,062-962-2500
롯데마트 청라점,인천광역시 서구 청라커낼로 252 롯데마트,37.5308509,126.6469619,032-590-2500
롯데마트 청량리점,서울특별시 동대문구 왕산로 214 롯데마트,37.5792928,127.0479007,02-3298-2500
롯데마트 청주점,충청북도 청주시 흥덕구 풍산로 15 롯데마트,36.6268218,127.4317494,043-236-2500
롯데마트 춘천점,강원도 춘천시 방송길 84 롯데마트,37.8685399,127.7180797,033-240-2500
롯데마트 충주점,충청북도 충주시 봉계1길 49 충주공용버스터미널,36.9819821,127.9145554,043-841-2500
롯데마트 통영점,경상남도 통영시 무전대로 65 롯데마트,34.8607178,128.4282532,055-640-2500
롯데마트 판교점,경기도 성남시 분당구 대왕판교로606번길 58 롯데마트,37.3964436,127.1117012,031-701-2500
롯데마트 평택점,경기도 평택시 평택5로 30 롯데마트 평택점,36.9883806,127.11173,031-8053-2500
롯데마트 포항점,경상북도 포항시 남구 지곡로 247 롯데마트,36.028379,129.3243123,054-222-2500
롯데마트 행당역점,서울특별시 성동구 행당로 82 한진타운상가 B2~B3층,37.5555573,127.0289482,02-2290-7000
롯데마트 홍성점,충청남도 홍성군 홍성읍 조양로247번길 9 롯데마트,36.6011474,126.6765497,041-339-2500
롯데마트 화명점,부산광역시 북구 화명대로 47 롯데마트,35.2351734,129.01302,051-604-2500
롯데마트 화정점,경기도 고양시 덕양구 화중로 66 롯데마트,37.6329073,126.8311083,031-947-2500
이마트 가든5점,서울특별시 송파구 충민로 10,37.4782316,127.1193703,02-411-1234
이마트 가양점,서울특별시 강서구 양천로 559,37.5578966,126.8622978,02-2101-1234
이마트 강릉점,강원도 강릉시 경강로 2398-10,37.7705833,128.9226176,033-649-1234
이마트 검단점,인천광역시 서구 서곶로 754,37.5855344,126.6771944,032-440-1234
이마트 경기광주점,경기도 광주시 광주대로 30,37.409522,127.2612286,031-8026-1234
이마트 경산점,경상북도 경산시 옥산로 227,35.8348664,128.720196,053-940-1234
이마트 계양점,인천광역시 계양구 봉오대로 785 이마트계양점,37.5309793,126.736883,032-717-1234
이마트 과천점,경기도 과천시 별양상가3로 11,37.4262262,126.9918557,02-6445-4123
이마트 광교점,경기도 수원시 광교로 191(이의동),37.2875669,127.0547251,031-328-9123
이마트 광명소하점,경기도 광명시 소하로 97,37.446547,126.8844653,02-6918-1234
이마트 광명점,경기도 광명시 오리로 970 지하2층,37.4794109,126.8556457,02-2676-1234
이마트 광산점,광주광역시 광산구 사암로 172 이마트 광산점,35.1599796,126.8086126,062-949-1234
이마트 광주점,광주광역시 서구 죽봉대로 61,35.1587752,126.8820833,062-360-0123
이마트 구로점,서울특별시 구로구 디지털로 32길 43,37.4843537,126.89788,02-2009-1234
이마트 구미점,경상북도 구미시 구미대로 256,36.1094691,128.3649177,054-467-1234
이마트 군산점,전라북도 군산시 구암3.1로 137,35.9827419,126.7348656,063-472-1234
이마트 금정점,"부산광역시 금정구 중앙대로1841번길 24 (구서동, (주)이마트금정점)",35.2500198,129.0907241,051-606-1234
이마트 김천점,경상북도 김천시 시청로 75,36.1349183,128.1168352,054-420-1234
이마트 김포한강점,경기도 김포시 김포한강7로 71 구주소)경기 김포시 구래동 6880-9,37.6372695,126.6313215,031-990-7123
이마트 김해점,경상남도 김해시 김해대로 2232 (외동) 이마트 김해점,35.2302741,128.8718129,055-310-1234
이마트 남양주점,경기도 남양주시 늘을2로 27,37.6549733,127.2430664,031-590-1234
이마트 남원점,전라북도 남원시 남문로 385-16,35.4076544,127.3746323,063-620-3123
이마트 다산점,경기도 남양주시 도농로 24,37.60841,127.1586827,031-579-1234
이마트 대전터미널점,대전광역시 동구 동서대로 1689,36.3502842,127.4366222,042-615-1234
이마트 동구미점,경상북도 구미시 이계북로 23,36.1063453,128.4047254,054-480-1234
이마트 동백점,경기도 용인시 기흥구 동백죽전대로 444,37.2779159,127.151605,031-546-1234
이마트 동인천점,인천광역시 중구 인중로 134,37.4664855,126.6291163,032-451-1234
이마트 동탄점,경기도 화성시 동탄중앙로 376,37.2142093,127.0796741,031-647-1234
이마트 동해점,강원도 동해시 천곡로 100,37.5239064,129.1171009,033-539-7123
이마트 둔산점,대전광역시 서구 둔산북로 41,36.3563352,127.3777808,042-479-1234
이마트 마산점,경상남도 창원시 마산합포구 서성로 3,35.1978245,128.5695328,055-711-1234
이마트 마포점,서울특별시 마포구 백범로 212,37.5424268,126.9533694,02-2197-1234
이마트 만촌점,"대구광역시 수성구 동원로 136 (만촌동, 이마트만촌점)",35.8711227,128.6372145,053-602-1234
이마트 명일점,서울특별시 강동구 고덕로 276,37.5546516,127.1557517,02-2145-1234
이마트 목동점,서울특별시 양천구 오목로 299,37.5257763,126.8703272,02-6923-1234
이마트 목포점,전라남도 목포시 옥암로 138,34.8116126,126.4252535,061-260-1234
이마트 묵동점,서울특별시 중랑구 동일로 932,37.613797,127.0775029,02-2083-1234
이마트 문현점,부산광역시 남구 전포대로91번길 47,35.1443594,129.0642591,051-609-1234
이마트 미아점,서울특별시 성북구 도봉로 17 (길음동),37.6108648,127.0296051,02-944-1234
이마트 반야월점,대구광역시 동구 안심로 389-2,35.8708661,128.7274592,053-665-1234
이마트 별내점,경기도 남양주시 순화궁로 167 (별내동),37.6667668,127.1195811,031-550-1234
이마트 보라점,경기도 용인시 기흥구 한보라1로 92,37.2475155,127.1050578,031-8009-1234
이마트 보령점,충청남도 보령시 해안로 25,36.3439697,126.5888748,041-640-1234
이마트 봉선점,광주광역시 남구 봉선로 198,35.1223552,126.9160689,062-611-1114
이마트 부천점,"경기도 부천시 부천로 1 (심곡본동, 부천역사쇼핑몰) 이마트 부천점",37.4840296,126.7826654,032-610-5123
이마트 분당점,경기도 성남시 분당구 불정로 134,37.3587618,127.1197443,031-710-1234
이마트 사상점,부산광역시 사상구 광장로 17,35.1642292,128.9789053,051-329-1234
이마트 사천점,경상남도 사천시 삼천포대교로 591,34.9508279,128.0773211,055-850-1234
이마트 산본점,경기도 군포시 산본로 347,37.3610506,126.9314088,031-450-1234
이마트 상봉점,서울특별시 중랑구 상봉로 118,37.596438,127.0935903,02-490-1234
이마트 상주점,경상북도 상주시 경상대로 3141,36.4277518,128.1510085,054-537-1234
이마트 서귀포점,제주특별자치도 서귀포시 일주동로 9209,33.2484335,126.5092187,064-797-1234
이마트 서산점,충청남도 서산시 서해로 3685,36.7885297,126.4785316,041-670-1234
이마트 서수원점,경기도 수원시 권선구 수인로 291,37.2825088,126.9701183,031-895-1234
이마트 성남점,경기도 성남시 수정구 수정로 201,37.4442613,127.1413754,031-8023-1234
이마트 성서점,대구광역시 달서구 이곡동로 24,35.8533378,128.5101866,053-605-1234
이마트 성수점,서울특별시 성동구 뚝섬로 379,37.5399389,127.0531674,02-3408-1234
이마트 세종점,세종특별자치시 금송로 687,36.4709543,127.2511952,044-902-1234
이마트 속초점,강원도 속초시 설악금강대교로 12,38.2049653,128.5935724,033-630-1234
이마트 수색점,"서울특별시 은평구 수색로 217 (수색동, 디엠씨 자이1단지(DMC 자이1))",37.5796984,126.8987547,02-6943-1234
이마트 수서점,서울특별시 강남구 광평로 280,37.4872829,127.1031088,02-451-6123
이마트 수원점,"경기도 수원시 권선구 경수대로 270 (권선동, 주차빌딩)",37.2503146,127.0208435,031-207-1234
이마트 수지점,경기도 용인시 수지구 수지로 203 (신봉동),37.3196884,127.0833256,031-270-1234
이마트 순천점,전라남도 순천시 팔마로 191,34.942448,127.508434,061-749-1234
이마트 시화점,경기도 시흥시 정왕대로 210,37.345879,126.7368994,031-496-4123
이마트 신도림점,서울특별시 구로구 새말로 97 테크노마트 지하2층,37.5070431,126.8902185,02-6715-1234
이마트 신월점,서울특별시 양천구 화곡로 59,37.5397142,126.8285127,02-6716-1234
이마트 신제주점,제주특별자치도 제주시 1100로 3348,33.4849511,126.4804897,064-798-1234
이마트 신촌점,"서울특별시 마포구 신촌로 94 (노고산동, 그랜드플라자)",37.5549516,126.9359732,02-6288-1234
이마트 아산점,충청남도 아산시 온천대로 1678,36.7763726,127.0217319,041-422-1234
이마트 안동점,경상북도 안동시 옥동 1길2,36.5583272,128.699306,054-850-1234
이마트 안산고잔점,경기도 안산시 단원구 원포공원1로 46,37.3031255,126.812847,031-599-1234
이마트 안성점,경기도 안성시 중앙로 246,37.0126934,127.2559145,031-686-1234
이마트 안양점,"경기도 안양시 동안구 관악대로 104 (비산동, 부방유통) 이마트 안양점",37.3984221,126.9348808,031-380-3300
이마트 양산점,경상남도 양산시 양산역6길 12,35.3369609,129.0262743,055-371-8123
이마트 양재점,서울특별시 서초구 매헌로 16,37.4629528,127.0369582,02-2155-1234
이마트 양주점,경기도 양주시 평화로 1713,37.8417466,127.0538748,031-860-0123
이마트 에코시티점,"전라북도 전주시 덕진구 세병서로 9 (송천동2가, 전주 에코시티 이마트) (세병서로 9)",35.8723104,127.1394932,063-906-5100
이마트 여수점,전라남도 여수시 좌수영로 277,34.7579142,127.7150203,061-650-1234
이마트 여의도점,서울특별시 영등포구 여의동로3길 10,37.5181371,126.9261297,02-2280-1234
이마트 여주점,경기도 여주시 세종로 151,37.2844549,127.6354062,031-887-6123
이마트 역삼점,서울특별시 강남구 역삼로 310,37.4992239,127.048424,02-6908-1234
이마트 연수점,인천광역시 연수구 경원대로 184,37.4041584,126.681106,032-820-1234
이마트 연제점,부산광역시 연제구 연수로 89 이마트 연제점,35.1759284,129.0812728,051-860-1234
이마트 영등포점,서울특별시 영등포구 영중로 15,37.517007,126.9041419,02-3468-1234
이마트 영천점,경상북도 영천시 최무선로 83,35.9581756,128.910111,054-330-1234
이마트 오산점,경기도 오산시 경기대로 181,37.1406271,127.0727154,031-369-7123
이마트 왕십리점,서울특별시 성동구 왕십리광장로 17 이마트 왕십리점,37.5616111,127.0385592,02-6438-1234
이마트 용산점,서울특별시 용산구 한강대로23길 55,37.5288539,126.9640447,02-6363-2200
이마트 용인점,경기도 용인시 처인구 명지로 53 이마트 용인점,37.231437,127.189175,031-326-1234
이마트 울산점,울산광역시 남구 남중로 48,35.5380178,129.3483974,052-220-1234
이마트 원주점,강원도 원주시 북원로 1928,37.3206214,127.9190288,033-749-1234
이마트 월계점,서울특별시 노원구 마들로3길 15 이마트 월계점,37.6265118,127.0619079,02-2092-1234
이마트 월배점,대구광역시 달서구 진천로 92 이마트 월배점,35.817143,128.5236661,053-607-1234
이마트 은평점,서울특별시 은평구 은평로 111 이마트 은평점,37.6007771,126.9204992,02-380-1234
이마트 의왕점,"경기도 의왕시 경수대로 262 (오전동, 서해그랑블) B1F~B2F 이마트의왕점",37.3500854,126.97331,031-8063-1234
이마트 의정부점,경기도 의정부시 민락로 210,37.7533135,127.1073975,031-850-1234
이마트 이수점,서울특별시 동작구 사당로 300 이수자이 B1,37.4843975,126.9804278,02-595-1234
이마트 이천점,경기도 이천시 이섭대천로 1440-50,37.2938305,127.4590649,031-644-8123
이마트 익산점,전라북도 익산시 평동로 705,35.9301951,126.9576491,063-860-1234
이마트 일산점,경기도 고양시 일산동구 중앙로 1124,37.6477852,126.7824175,031-900-1234
이마트 자양점,서울특별시 광진구 아차산로 272,37.5376127,127.0726183,02-2024-1234
이마트 전주점,전라북도 전주시 완산구 당산로 111,35.832564,127.1204648,063-259-1234
이마트 제주점,제주특별자치도 제주시 탑동로 38,33.5179985,126.5212165,064-729-1234
이마트 제천점,충청북도 제천시 장평천로 11,37.1231363,128.2228903,043-641-1234
이마트 죽전점,경기도 용인시 수지구 포은대로 552,37.3252976,127.1100001,031-888-1234
이마트 중동점,"경기도 부천시 석천로 188 (중동, (주)신세계이마트중동점)",37.504044,126.763924,032-718-1234
이마트 진접점,경기도 남양주시 진접읍 금강로유연들1길 154,37.7088559,127.1820536,031-522-1234
이마트 진주점,경상남도 진주시 진양호로 477,35.1915588,128.0774222,055-749-1234
이마트 창동점,서울특별시 도봉구 노해로 65길 4,37.6516821,127.046933,02-901-1234
이마트 창원점,경상남도 창원시 성산구 원이대로 608,35.2266376,128.6801916,055-211-1234
이마트 천안서북점,충청남도 천안시 서북구 삼성대로 20,36.838181,127.1578183,041-580-9123
이마트 천안점,충청남도 천안시 서북구 충무로 187,36.7958771,127.127097,041-620-1234
이마트 천안터미널점,충청남도 천안시 동남구 만남로 43,36.8196847,127.1543899,041-411-1234
이마트 천호점,서울특별시 강동구 천호대로 1017,37.5386477,127.1253669,02-2224-1234
